_id,level,max_velocity,name,type
31096786,1,80,Quốc Lộ 1,trunk
32575737,4,,,unclassified
32575794,4,,Chu Văn An,unclassified
32575820,4,,Nguyễn Văn Bá,tertiary
32575823,4,,Nguyễn Thị Nhỏ,tertiary
32575862,3,,Đường số 5,secondary
32575864,3,40,Châu Văn Liêm,secondary
32575869,4,,Lê Văn Thịnh,unclassified
32575874,4,,,unclassified
32575935,3,,Tân Phú,primary_link
32575943,4,,Lê Minh Xuân,tertiary
32575944,4,,Phú Hòa,unclassified
32575966,3,,Lê Văn Lương,secondary
32575968,4,,An Phú Tây - Hưng Long,tertiary
32575985,4,,Nguyễn Khoái,tertiary
32576041,4,,Vành Đai Trong,tertiary
32576047,4,,Đường 10Tây,unclassified
32576095,4,,,tertiary
32576096,4,,Xuân Thới Sơn - Xuân Thới Dông,unclassified
32576099,4,,Nguyễn Văn Lượng,unclassified
32576112,4,,Trương Quốc Dung,unclassified
32576127,4,,Tản Đà,tertiary
32576156,4,,Đường số 7,tertiary
32576164,3,,Bình Long,secondary
32576175,4,,Tam Đa,unclassified
32576202,4,,Nguyễn Hồng Đào,tertiary
32576278,4,,Bến Bùi Huy Bích,tertiary
32576371,4,,Cầu Calmette,tertiary
32576373,4,,Bến Nguyễn Duy,tertiary
32576377,4,,Trường Sa,tertiary
32576381,3,,Nguyễn Bình,secondary
32576511,4,,Vĩnh Lộc,tertiary
32576575,4,,Thới Hòa,tertiary
32576600,4,,Tạ Quang Bửu,tertiary
32576602,3,,Trần Não,secondary
32576657,4,,Xóm Củi,tertiary
32576658,4,,Nguyễn Đức Cảnh,tertiary
32576690,4,,Phạm Đăng Giảng,tertiary
32576691,3,,Phan Văn Hớn,secondary
32576747,4,,Hậu Giang,tertiary
32576820,4,,Đại Lộ III,tertiary
32576835,4,,Lương Thế Vinh,unclassified
32576857,4,40,Phạm Văn Chí,tertiary
32576867,4,,Lương Minh Nguyệt,unclassified
32576893,4,,Dương Thị Mười,tertiary
32576951,4,,Lê Sát,unclassified
32577094,4,,,tertiary
32577095,4,,,tertiary
32577116,4,,Thích Quảng Đức,tertiary
32577138,4,,Tân Thuận,unclassified
32577146,4,,Nguyễn Cửu Phú,tertiary
32577205,4,,Tam Bình,tertiary
32577210,3,,Vĩnh Lộc,secondary
32577211,4,,Đào Tấn,tertiary
32577232,4,,Đặng Văn Bi,tertiary
32577244,4,,Tôn Thất Hiệp,tertiary
32577256,4,,Trần Văn Giàu,tertiary
32577314,4,,Nguyễn Thức Đường,tertiary
32577339,4,,Trần Khắc Chân,unclassified
32577369,4,,Hương Lộ 2,tertiary
32577370,4,,Tây Lân,tertiary
32577382,4,,Văn Thân,tertiary
32577385,4,,Phước Thiện,tertiary
32577436,4,,Hoàng Diệu 2,tertiary
32577442,4,,,unclassified
32577449,4,,Hẻm 373 Lý Thường Kiệt,unclassified
32577460,4,,Lê Khôi,tertiary
32577480,4,,Đường số 36,tertiary
32577481,4,,Linh Đông,tertiary
32577483,4,,,tertiary
32577484,4,,Gò Dưa,tertiary
32577500,4,,Dương Quang Đông,tertiary
32577508,4,,Kha Vạn Cân,tertiary
32577546,4,,Tân Xuân 1,unclassified
32577561,4,,Phổ Quang,tertiary
32577628,4,,Huỳnh Mẫn Đạt,tertiary
32577683,2,,Nguyễn Tri Phương,primary
32577684,3,,Nguyễn Tri Phương,secondary
32577686,4,,Thành Thái,tertiary
32577688,2,,Xô Viết Nghệ Tĩnh,primary
32577705,4,,Trịnh Đình Trọng,tertiary
32577758,4,,An Phú Đông,unclassified
32577789,3,,,primary_link
32577799,4,,Tây Hòa,tertiary
32577828,2,,Nguyễn Kiệm,primary
32577919,2,,Nguyễn Oanh,primary
32578100,4,,Ni Sư Huỳnh Liên,tertiary
32578144,4,,Lê Lợi,unclassified
32578157,4,,Văn Cao,tertiary
32578166,4,,Hoàng Quốc Việt,unclassified
32578171,4,,Đường số 9,unclassified
32578226,4,,Vĩnh Khánh,unclassified
